path,sha256,phash,dhash,ahash
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1.jpg,864a17194042096e4310efe985748553ad9bd8abdadfeaa61cefddc8a6c710fe,f192cb4d9cec0e43,10189c9e160b8b0f,ffefc7c78000c1c0
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/10.jpg,000406363a146786eaa1ff1498982c27049f3a234ee31c86c254272cea18edfe,c09bd9c0d334347f,d9f92ca8e3e6e2e0,ffff040c78707000
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/100.jpg,9a8afda71bc3b3473642ad0539fa6a89f4ac0bc63ed5e68ba34f503b71044d04,d185c03b3c6f8787,d4d4d0f0f8d8f0f0,7e7e7e1c0c0c3878
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1000.png,88f04e9341fd72135be988fed1a9e025981560a068309008051360face82b897,d9c1c5867c195f0e,c2c2f392f070d830,7a781808183c1e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1001.png,9a1f1069d263d3864e08353ce67fbeef4ce7e174adf65fa308c4d5b67a659fd8,99c1c7867c195f0e,c2c2f393f1f0d830,7a7a1808183c3e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1002.png,b442e519cae2d1a6b17563f208244c1937fc5ec0640be7b441ad03ae390a0a6d,99c1e7867c115f0e,c2c2f393f170f830,7a7a18081c3c1e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1003.png,4bcea6da2b7a54487130f1e9bb6df70ba1d49e423e7aede72ef6780e5cb99c25,9961f78670315f0e,c2c2f393f078f838,7a7818081c3c1e9e
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1004.png,2ecc7146dfb2b1b95e22eadddad7476b64a29c9116e732e6d87e745a71262bd3,d9c1c5077c195f1a,c2c2f992a078d030,7e7e380800180c98
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1005.png,c3070a6b899c4a9076993feecaa6d889d87a07dc7aaef621156dbe83f84fe933,d9c1e5467c195b0e,c2c27192e068d834,7a7e18083c3c0e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1006.png,21a5c97c916b9e1082bfa84760f62853e25f151f12e53351ebfe939ccd4f573d,99c1c7467c195f0e,c2c27b92f068f834,7a7e18081c3c1e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1007.png,99dde0b31a6344dc1cfd82d40a6c0ba41eea495dd01ac09ad6a991af9c6fafc5,d9c1c5467c195f0e,c2c27392e068d834,7a7e1808183c0e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1008.png,3c02e583d1b51ce89d14ab2ab5e80f279c13f76428da2def5350269ab7c1026f,d9c1e5067c195f0e,c2c27393e078f830,7a7e18083c3c1e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1009.png,90a0a024001553c63a714076deb6cef9a6bb649d1311582d570e62359c2cbd52,99c1e78678395b0e,c2c2f393f178fc34,7a7a18081c3c1e9c
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/101.jpg,63ad6177b08115de16cde5639a9e5eeecc7f5ffee1652dc5f880f87f5e6ddcba,d5eaaa952a61d1d2,e0e88000e4dcf4f8,fffff80014fe7e7e
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1010.png,b882aa1a9c9f9200a9631164044d143d6c84157f237d1d3be40fdb1c5e4104b4,9961d78778315b0e,c2c2f393f178fc7c,7a7818081c3c3e9e
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1011.png,ff975007d254c931c46be29dffe7075f30fe76435b2a34798cc41a85ed545f47,9961e70678395f0e,c2c2f393f178fc3c,7a7a19081c3c1e9e
