path,jenis,kerusakan,jenis_idx,kerusakan_idx,joint_idx,scene_group,group_size,severity_nlabels,disaster_nlabels,severity_conflict,disaster_conflict,component_weight_raw,component_weight,severity_weight,disaster_weight
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,0,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/10.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,921,3,1,1,False,False,0.5773502691896258,0.6608882194954523,0.6608882194954523,0.6608882194954523
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/100.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,1,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1000.png,BANJIR,KERUSAKAN RINGAN,0,0,0,2,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1001.png,BANJIR,KERUSAKAN RINGAN,0,0,0,3,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1002.png,BANJIR,KERUSAKAN RINGAN,0,0,0,4,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1003.png,BANJIR,KERUSAKAN RINGAN,0,0,0,1708,3,2,1,True,False,0.5773502691896258,0.6608882194954523,0.16522205487386307,0.6608882194954523
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1004.png,BANJIR,KERUSAKAN RINGAN,0,0,0,5,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1005.png,BANJIR,KERUSAKAN RINGAN,0,0,0,6,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1006.png,BANJIR,KERUSAKAN RINGAN,0,0,0,7,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1007.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,5,1,1,False,False,0.4472135954999579,0.5119218135621116,0.5119218135621116,0.5119218135621116
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1008.png,BANJIR,KERUSAKAN RINGAN,0,0,0,8,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1009.png,BANJIR,KERUSAKAN RINGAN,0,0,0,9,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/101.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,10,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1010.png,BANJIR,KERUSAKAN RINGAN,0,0,0,11,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1011.png,BANJIR,KERUSAKAN RINGAN,0,0,0,12,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1012.png,BANJIR,KERUSAKAN RINGAN,0,0,0,13,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1013.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,5,1,1,False,False,0.4472135954999579,0.5119218135621116,0.5119218135621116,0.5119218135621116
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1014.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,5,1,1,False,False,0.4472135954999579,0.5119218135621116,0.5119218135621116,0.5119218135621116
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1015.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,5,1,1,False,False,0.4472135954999579,0.5119218135621116,0.5119218135621116,0.5119218135621116
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1016.png,BANJIR,KERUSAKAN RINGAN,0,0,0,14,5,1,1,False,False,0.4472135954999579,0.5119218135621116,0.5119218135621116,0.5119218135621116
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1017.png,BANJIR,KERUSAKAN RINGAN,0,0,0,15,2,1,1,False,False,0.7071067811865475,0.8094194573901737,0.8094194573901737,0.8094194573901737
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1018.png,BANJIR,KERUSAKAN RINGAN,0,0,0,16,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1019.png,BANJIR,KERUSAKAN RINGAN,0,0,0,15,2,1,1,False,False,0.7071067811865475,0.8094194573901737,0.8094194573901737,0.8094194573901737
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/102.jpg,BANJIR,KERUSAKAN RINGAN,0,0,0,984,3,1,1,False,False,0.5773502691896258,0.6608882194954523,0.6608882194954523,0.6608882194954523
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1020.png,BANJIR,KERUSAKAN RINGAN,0,0,0,17,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1021.png,BANJIR,KERUSAKAN RINGAN,0,0,0,18,2,2,1,True,False,0.7071067811865475,0.8094194573901737,0.20235486434754343,0.8094194573901737
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1022.png,BANJIR,KERUSAKAN RINGAN,0,0,0,19,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
/workspace/dataset/SE/TRAIN/BANJIR/KERUSAKAN RINGAN/1023.png,BANJIR,KERUSAKAN RINGAN,0,0,0,20,1,1,1,False,False,1.0,1.1446919742898554,1.1446919742898554,1.1446919742898554
